Date;Time;Lat;Lon;Dep;M;MT;Region
16/11/2021;23:59:21.867;7.74 S;122.70 E;314;3.8;-;Flores Sea (Status: confirmed)
16/11/2021;23:16:14.944;1.36 S;120.46 E;10;3.1;-;Sulawesi, Indonesia (Status: confirmed)
16/11/2021;22:27:35.606;5.72 S;102.95 E;10;3.4;-;Southern Sumatra, Indonesia (Status: confirmed)
16/11/2021;21:50:18.463;1.71 N;127.42 E;105;3.2;-;Halmahera, Indonesia (Status: confirmed)
16/11/2021;21:08:52.858;0.99 S;120.27 E;10;2.6;-;Minahassa Peninsula, Sulawesi (Status: confirmed)
16/11/2021;19:39:44.667;0.21 N;96.63 E;16;3.7;-;Off West Coast of Northern Sumatra (Status: confirmed)
16/11/2021;19:04:53.302;7.81 S;118.68 E;10;2.7;-;Flores Sea (Status: confirmed)
16/11/2021;19:03:15.182;7.56 S;104.81 E;10;4.2;-;Southwest of Sumatra, Indonesia (Status: confirmed)
16/11/2021;19:00:42.019;0.87 N;126.53 E;13;2.6;-;Northern Molucca Sea (Status: confirmed)
16/11/2021;18:19:27.172;3.49 N;96.54 E;10;2.9;-;Northern Sumatra, Indonesia (Status: confirmed)
16/11/2021;18:10:51.093;4.56 N;94.86 E;10;2.9;-;Off West Coast of Northern Sumatra (Status: confirmed)
16/11/2021;17:30:56.601;2.36 N;128.28 E;136;2.9;-;Halmahera, Indonesia (Status: confirmed)
16/11/2021;17:25:00.654;0.98 N;127.54 E;10;2.1;-;Halmahera, Indonesia (Status: confirmed)
16/11/2021;17:13:02.913;1.94 N;127.03 E;94;3.3;-;Halmahera, Indonesia (Status: confirmed)
16/11/2021;17:11:17.435;2.26 S;102.31 E;211;4.6;-;Southern Sumatra, Indonesia (Status: confirmed)
16/11/2021;13:54:14.820;2.01 S;138.89 E;23;3.8;-;Irian Jaya, Indonesia (Status: confirmed)
16/11/2021;13:51:35.645;1.57 N;127.26 E;126;2.8;-;Halmahera, Indonesia (Status: confirmed)
16/11/2021;13:45:47.460;1.37 S;120.49 E;10;2.4;-;Sulawesi, Indonesia (Status: confirmed)
16/11/2021;13:01:53.750;9.49 S;117.59 E;25;3.0;-;Sumbawa Region, Indonesia (Status: confirmed)
16/11/2021;12:57:38.393;9.42 S;115.25 E;28;3.0;-;South of Bali, Indonesia (Status: confirmed)
16/11/2021;11:20:20.850;4.17 S;122.65 E;10;2.7;-;Sulawesi, Indonesia (Status: confirmed)
16/11/2021;11:07:57.828;9.53 S;125.04 E;10;3.6;-;Timor Region (Status: confirmed)
16/11/2021;11:02:02.350;0.13 S;124.44 E;10;3.4;-;Southern Molucca Sea (Status: confirmed)
16/11/2021;08:10:33.938;2.67 N;128.41 E;16;4.3;-;Halmahera, Indonesia (Status: confirmed)
16/11/2021;07:53:59.503;0.96 S;131.36 E;10;3.3;-;Irian Jaya Region, Indonesia (Status: confirmed)
16/11/2021;07:49:44.271;7.54 S;128.17 E;185;4.7;-;Banda Sea (Status: confirmed)
16/11/2021;07:29:29.597;8.54 S;123.82 E;86;3.4;-;Flores Region, Indonesia (Status: confirmed)
16/11/2021;07:09:28.210;9.17 S;110.71 E;10;4.0;-;South of Java, Indonesia (Status: confirmed)
16/11/2021;05:54:41.995;3.77 S;101.60 E;27;4.2;-;Southern Sumatra, Indonesia (Status: confirmed)
16/11/2021;05:22:56.394;0.19 N;96.64 E;14;3.2;-;Off West Coast of Northern Sumatra (Status: confirmed)
16/11/2021;04:10:15.405;4.08 S;102.80 E;83;3.7;-;Southern Sumatra, Indonesia (Status: confirmed)
16/11/2021;04:09:24.469;7.85 S;110.00 E;82;3.6;-;Java, Indonesia (Status: confirmed)
16/11/2021;03:42:30.256;0.10 S;122.88 E;152;4.7;-;Minahassa Peninsula, Sulawesi (Status: confirmed)
16/11/2021;02:47:38.508;9.50 S;117.77 E;27;3.7;-;Sumbawa Region, Indonesia (Status: confirmed)
16/11/2021;02:38:51.148;2.97 S;140.04 E;27;3.3;-;Near North Coast of Irian Jaya (Status: confirmed)
16/11/2021;02:29:29.195;3.42 S;135.43 E;23;4.2;-;Irian Jaya Region, Indonesia (Status: confirmed)
16/11/2021;02:23:19.711;0.05 N;124.03 E;29;3.2;-;Minahassa Peninsula, Sulawesi (Status: confirmed)
16/11/2021;01:59:17.589;0.87 N;125.90 E;10;3.4;-;Northern Molucca Sea (Status: confirmed)
15/11/2021;22:49:31.606;7.24 S;106.17 E;88;2.9;-;Java, Indonesia (Status: confirmed)
15/11/2021;22:05:08.764;8.92 S;112.47 E;40;3.2;-;Java, Indonesia (Status: confirmed)
15/11/2021;20:24:43.047;6.30 S;130.28 E;164;4.9;-;Banda Sea (Status: confirmed)
15/11/2021;19:54:48.496;2.72 S;129.73 E;10;2.1;-;Seram, Indonesia (Status: confirmed)
15/11/2021;19:12:55.823;2.13 N;128.47 E;33;3.3;-;Halmahera, Indonesia (Status: confirmed)
15/11/2021;19:03:15.826;9.03 S;111.70 E;10;3.0;-;South of Java, Indonesia (Status: confirmed)
15/11/2021;18:34:02.052;0.45 S;99.22 E;26;2.5;-;Southern Sumatra, Indonesia (Status: confirmed)
15/11/2021;18:21:40.964;0.13 S;124.03 E;88;3.7;-;Southern Molucca Sea (Status: confirmed)
15/11/2021;18:15:07.637;1.35 S;120.48 E;10;2.5;-;Sulawesi, Indonesia (Status: confirmed)
15/11/2021;17:27:32.180;0.05 S;126.86 E;41;3.0;-;Southern Molucca Sea (Status: confirmed)
15/11/2021;16:34:04.213;4.90 N;126.61 E;10;3.9;-;Talaud Islands, Indonesia (Status: confirmed)
15/11/2021;16:17:47.782;5.10 N;126.69 E;10;4.3;-;Mindanao, Philippines (Status: confirmed)
15/11/2021;15:22:02.574;1.13 S;99.69 E;11;3.9;-;Southern Sumatra, Indonesia (Status: confirmed)
15/11/2021;15:04:00.563;1.26 N;127.08 E;75;3.0;-;Halmahera, Indonesia (Status: confirmed)
15/11/2021;14:51:36.764;0.52 N;121.32 E;68;2.9;-;Minahassa Peninsula, Sulawesi (Status: confirmed)
15/11/2021;13:44:38.285;3.28 N;98.17 E;112;2.9;-;Northern Sumatra, Indonesia (Status: confirmed)
15/11/2021;13:10:54.637;8.70 S;123.99 E;95;3.4;-;Flores Region, Indonesia (Status: confirmed)
15/11/2021;11:37:51.834;1.30 S;120.50 E;10;2.4;-;Sulawesi, Indonesia (Status: confirmed)
15/11/2021;11:09:03.554;6.44 S;108.01 E;295;4.6;-;Java, Indonesia (Status: confirmed)
15/11/2021;08:45:25.981;2.88 N;125.58 E;12;3.5;-;Talaud Islands, Indonesia (Status: confirmed)
15/11/2021;08:26:15.329;2.97 S;128.34 E;19;3.3;-;Ceram Sea (Status: confirmed)
15/11/2021;08:02:07.175;0.97 S;127.43 E;10;2.8;-;Halmahera, Indonesia (Status: confirmed)
15/11/2021;07:57:15.909;9.84 S;116.26 E;10;3.0;-;Sumbawa Region, Indonesia (Status: confirmed)
15/11/2021;07:48:18.609;3.52 N;97.12 E;38;3.2;-;Northern Sumatra, Indonesia (Status: confirmed)
15/11/2021;06:36:06.737;8.64 S;117.45 E;154;2.2;-;Sumbawa Region, Indonesia (Status: confirmed)
15/11/2021;06:23:55.487;0.41 N;127.50 E;10;2.8;-;Halmahera, Indonesia (Status: confirmed)
15/11/2021;04:09:39.651;4.81 S;119.64 E;10;2.2;-;Sulawesi, Indonesia (Status: confirmed)
15/11/2021;00:52:47.210;1.33 S;120.45 E;10;4.2;-;Sulawesi, Indonesia (Status: confirmed)
15/11/2021;00:40:21.466;8.68 S;108.07 E;10;3.8;-;Java, Indonesia (Status: confirmed)
14/11/2021;23:06:17.088;2.88 N;122.27 E;533;4.3;-;Celebes Sea (Status: confirmed)
14/11/2021;21:51:07.705;1.57 S;120.18 E;10;2.6;-;Sulawesi, Indonesia (Status: confirmed)
14/11/2021;20:31:14.419;7.92 S;117.85 E;32;3.4;-;Bali Sea (Status: confirmed)
14/11/2021;20:11:59.884;1.66 N;97.82 E;10;3.6;-;Northern Sumatra, Indonesia (Status: confirmed)
14/11/2021;19:57:17.576;10.57 S;112.03 E;33;3.8;-;South of Java, Indonesia (Status: confirmed)
14/11/2021;19:36:15.365;0.54 S;131.54 E;10;3.7;-;Irian Jaya Region, Indonesia (Status: confirmed)
14/11/2021;19:15:45.291;9.10 S;124.14 E;10;2.9;-;Timor Region (Status: confirmed)
14/11/2021;17:29:28.020;6.84 S;129.77 E;207;4.1;-;Banda Sea (Status: confirmed)
14/11/2021;16:36:45.976;1.73 S;139.14 E;10;3.4;-;Near North Coast of Irian Jaya (Status: confirmed)
14/11/2021;14:44:48.955;8.98 S;109.88 E;10;3.8;-;Java, Indonesia (Status: confirmed)
14/11/2021;13:35:34.192;1.32 S;120.42 E;10;3.5;-;Sulawesi, Indonesia (Status: confirmed)
14/11/2021;12:18:39.669;1.29 S;120.44 E;10;4.0;-;Sulawesi, Indonesia (Status: confirmed)
14/11/2021;11:13:51.146;9.15 S;112.91 E;36;3.7;-;South of Java, Indonesia (Status: confirmed)
14/11/2021;11:06:02.700;1.81 N;126.40 E;13;3.1;-;Northern Molucca Sea (Status: confirmed)
14/11/2021;10:24:43.038;1.87 S;128.43 E;22;4.1;-;Halmahera, Indonesia (Status: confirmed)
14/11/2021;10:21:58.553;0.02 N;124.35 E;27;2.8;-;Minahassa Peninsula, Sulawesi (Status: confirmed)
14/11/2021;09:54:37.215;2.61 N;128.37 E;209;4.2;-;Halmahera, Indonesia (Status: confirmed)
14/11/2021;09:49:43.136;10.97 S;115.34 E;10;3.2;-;South of Bali, Indonesia (Status: confirmed)
14/11/2021;08:37:22.453;10.24 S;113.23 E;10;3.5;-;South of Java, Indonesia (Status: confirmed)
14/11/2021;07:37:34.017;9.60 S;118.80 E;10;3.0;-;Sumbawa Region, Indonesia (Status: confirmed)
14/11/2021;07:07:04.881;0.16 N;124.27 E;39;3.3;-;Minahassa Peninsula, Sulawesi (Status: confirmed)
14/11/2021;05:50:24.212;1.51 N;99.00 E;10;2.4;-;Northern Sumatra, Indonesia (Status: confirmed)
14/11/2021;05:46:41.352;2.42 S;120.83 E;10;2.5;-;Sulawesi, Indonesia (Status: confirmed)
14/11/2021;05:33:57.473;10.40 S;117.15 E;10;3.5;-;South of Sumbawa, Indonesia (Status: confirmed)
14/11/2021;04:54:16.073;8.71 S;118.37 E;117;4.6;-;Sumbawa Region, Indonesia (Status: confirmed)
14/11/2021;03:44:30.984;0.27 N;96.76 E;10;3.4;-;Off West Coast of Northern Sumatra (Status: confirmed)
14/11/2021;03:26:21.227;0.18 S;123.00 E;27;2.7;-;Minahassa Peninsula, Sulawesi (Status: confirmed)
14/11/2021;03:12:55.518;2.86 S;141.41 E;10;3.8;-;Near N. Coast of New Guinea, PNG. (Status: confirmed)
14/11/2021;02:57:23.166;0.27 N;96.82 E;10;3.1;-;Off West Coast of Northern Sumatra (Status: confirmed)
14/11/2021;02:55:52.230;3.34 N;127.30 E;10;3.9;-;Talaud Islands, Indonesia (Status: confirmed)
14/11/2021;02:51:43.228;2.28 S;140.30 E;10;2.7;-;Near North Coast of Irian Jaya (Status: confirmed)
14/11/2021;02:02:08.226;7.67 S;126.92 E;216;4.2;-;Banda Sea (Status: confirmed)
14/11/2021;01:35:24.462;3.72 S;119.91 E;10;2.5;-;Sulawesi, Indonesia (Status: confirmed)
14/11/2021;01:05:18.993;3.73 S;119.91 E;10;3.0;-;Sulawesi, Indonesia (Status: confirmed)
14/11/2021;00:43:27.061;3.41 N;96.44 E;10;4.2;-;Northern Sumatra, Indonesia (Status: confirmed)
13/11/2021;23:03:30.554;2.78 S;122.24 E;10;3.3;-;Sulawesi, Indonesia (Status: confirmed)
13/11/2021;22:42:23.685;1.39 N;126.45 E;10;3.6;-;Northern Molucca Sea (Status: confirmed)
13/11/2021;19:31:28.705;3.75 S;134.88 E;10;3.8;-;Irian Jaya Region, Indonesia (Status: confirmed)
13/11/2021;16:47:31.503;0.23 N;96.67 E;10;3.3;-;Off West Coast of Northern Sumatra (Status: confirmed)
13/11/2021;15:10:49.243;2.52 S;128.79 E;14;3.1;-;Ceram Sea (Status: confirmed)
13/11/2021;15:05:59.333;2.59 N;128.30 E;184;3.2;-;Halmahera, Indonesia (Status: confirmed)
13/11/2021;14:01:39.911;3.39 S;128.32 E;10;2.7;-;Seram, Indonesia (Status: confirmed)
13/11/2021;13:42:51.676;1.77 N;127.38 E;123;5.1;Yes;Halmahera, Indonesia (Status: confirmed)
13/11/2021;13:30:31.198;5.87 N;126.74 E;14;4.4;-;Mindanao, Philippines (Status: confirmed)
13/11/2021;12:08:22.934;2.80 S;129.33 E;11;3.2;-;Seram, Indonesia (Status: confirmed)
13/11/2021;11:39:10.398;4.23 N;125.98 E;137;3.8;-;Talaud Islands, Indonesia (Status: confirmed)
13/11/2021;11:18:18.230;2.85 S;129.16 E;14;2.8;-;Seram, Indonesia (Status: confirmed)
13/11/2021;11:10:09.777;2.85 S;129.11 E;10;3.1;-;Seram, Indonesia (Status: confirmed)
13/11/2021;09:16:01.448;1.34 S;120.51 E;10;3.4;-;Sulawesi, Indonesia (Status: confirmed)
13/11/2021;06:48:14.184;0.45 S;98.72 E;32;3.0;-;Southern Sumatra, Indonesia (Status: confirmed)
13/11/2021;05:46:09.177;4.00 S;129.22 E;143;4.7;-;Seram, Indonesia (Status: confirmed)
13/11/2021;04:00:32.292;2.12 S;120.47 E;10;3.5;-;Sulawesi, Indonesia (Status: confirmed)
13/11/2021;03:05:48.529;10.92 S;118.11 E;35;3.9;-;South of Sumbawa, Indonesia (Status: confirmed)
13/11/2021;02:47:14.009;9.28 S;118.63 E;35;3.6;-;Sumbawa Region, Indonesia (Status: confirmed)
13/11/2021;00:35:40.746;1.32 S;120.49 E;10;3.4;-;Sulawesi, Indonesia (Status: confirmed)
13/11/2021;00:01:04.822;1.85 N;127.15 E;101;3.9;-;Halmahera, Indonesia (Status: confirmed)
12/11/2021;21:41:06.783;6.95 S;131.46 E;10;3.3;-;Tanimbar Islands Reg., Indonesia (Status: confirmed)
12/11/2021;21:36:37.849;1.31 S;120.48 E;10;2.8;-;Sulawesi, Indonesia (Status: confirmed)
12/11/2021;21:16:19.999;3.12 N;97.35 E;10;2.5;-;Northern Sumatra, Indonesia (Status: confirmed)
12/11/2021;20:29:47.512;1.56 S;119.72 E;10;2.5;-;Sulawesi, Indonesia (Status: confirmed)
12/11/2021;20:15:22.842;3.85 S;135.00 E;10;3.8;-;Irian Jaya Region, Indonesia (Status: confirmed)
12/11/2021;19:53:24.259;1.29 S;120.44 E;10;2.5;-;Sulawesi, Indonesia (Status: confirmed)
12/11/2021;19:52:00.215;1.33 S;120.45 E;10;2.5;-;Sulawesi, Indonesia (Status: confirmed)
12/11/2021;19:42:38.679;0.56 N;121.15 E;75;3.1;-;Minahassa Peninsula, Sulawesi (Status: confirmed)
12/11/2021;19:33:59.765;8.33 S;119.57 E;171;2.6;-;Flores Region, Indonesia (Status: confirmed)
12/11/2021;18:47:44.453;1.31 S;120.47 E;10;3.0;-;Sulawesi, Indonesia (Status: confirmed)
12/11/2021;18:36:47.426;2.00 N;99.09 E;125;2.7;-;Northern Sumatra, Indonesia (Status: confirmed)
12/11/2021;18:23:48.960;3.52 S;128.09 E;17;2.8;-;Seram, Indonesia (Status: confirmed)
12/11/2021;11:42:03.765;0.09 N;124.37 E;38;3.8;-;Minahassa Peninsula, Sulawesi (Status: confirmed)
12/11/2021;11:05:20.071;1.31 S;120.50 E;10;2.4;-;Sulawesi, Indonesia (Status: confirmed)
12/11/2021;10:44:17.605;1.32 N;98.84 E;81;5.1;Yes;Northern Sumatra, Indonesia (Status: confirmed)
12/11/2021;10:25:51.712;8.32 S;120.63 E;25;3.4;-;Flores Region, Indonesia (Status: confirmed)
12/11/2021;08:32:29.955;2.18 N;96.16 E;10;4.9;-;Northern Sumatra, Indonesia (Status: confirmed)
12/11/2021;08:03:41.237;2.71 S;129.53 E;10;3.2;-;Seram, Indonesia (Status: confirmed)
12/11/2021;07:21:00.840;4.18 S;119.63 E;10;3.2;-;Sulawesi, Indonesia (Status: confirmed)
12/11/2021;06:45:48.244;0.40 S;124.24 E;15;4.2;-;Southern Molucca Sea (Status: confirmed)
12/11/2021;06:33:23.723;0.27 N;98.51 E;27;4.8;-;Northern Sumatra, Indonesia (Status: confirmed)
12/11/2021;06:32:27.673;3.76 S;128.81 E;113;3.4;-;Seram, Indonesia (Status: confirmed)
12/11/2021;06:21:28.616;8.24 S;117.58 E;10;2.9;-;Sumbawa Region, Indonesia (Status: confirmed)
12/11/2021;05:50:46.566;9.91 S;116.84 E;10;2.8;-;Sumbawa Region, Indonesia (Status: confirmed)
12/11/2021;05:08:55.429;9.01 S;124.20 E;48;2.8;-;Timor Region (Status: confirmed)
12/11/2021;01:51:01.600;9.41 S;117.79 E;33;4.3;-;Sumbawa Region, Indonesia (Status: confirmed)
12/11/2021;01:27:18.318;9.07 S;117.61 E;99;3.7;-;Sumbawa Region, Indonesia (Status: confirmed)
12/11/2021;01:09:58.697;0.30 S;123.24 E;32;2.6;-;Minahassa Peninsula, Sulawesi (Status: confirmed)
12/11/2021;00:48:50.256;2.71 S;129.40 E;10;3.0;-;Seram, Indonesia (Status: confirmed)
12/11/2021;00:00:23.521;0.36 S;122.93 E;13;3.1;-;Minahassa Peninsula, Sulawesi (Status: confirmed)
11/11/2021;20:49:30.511;4.33 S;138.55 E;169;3.8;-;Irian Jaya, Indonesia (Status: confirmed)
11/11/2021;18:53:27.747;3.08 S;129.01 E;10;2.1;-;Seram, Indonesia (Status: confirmed)
11/11/2021;18:47:32.524;4.16 S;134.37 E;18;3.6;-;Irian Jaya Region, Indonesia (Status: confirmed)
11/11/2021;18:19:27.068;7.07 S;108.08 E;166;3.9;-;Java, Indonesia (Status: confirmed)
11/11/2021;17:24:20.711;1.86 S;122.59 E;16;3.4;-;Sulawesi, Indonesia (Status: confirmed)
11/11/2021;17:15:43.909;8.30 S;110.03 E;56;3.0;-;Java, Indonesia (Status: confirmed)
11/11/2021;16:22:12.862;0.54 N;121.18 E;70;3.0;-;Minahassa Peninsula, Sulawesi (Status: confirmed)
11/11/2021;15:51:59.065;8.91 S;124.12 E;51;2.6;-;Timor Region (Status: confirmed)
11/11/2021;15:41:20.963;1.02 S;126.73 E;12;3.2;-;Southern Molucca Sea (Status: confirmed)
11/11/2021;15:33:46.804;2.83 S;129.29 E;11;2.8;-;Seram, Indonesia (Status: confirmed)
11/11/2021;15:23:49.241;0.43 N;124.19 E;50;2.7;-;Minahassa Peninsula, Sulawesi (Status: confirmed)
11/11/2021;14:09:55.500;4.07 S;103.39 E;10;2.2;-;Southern Sumatra, Indonesia (Status: confirmed)
11/11/2021;14:02:34.178;0.14 N;124.23 E;28;2.8;-;Minahassa Peninsula, Sulawesi (Status: confirmed)
11/11/2021;11:38:31.179;10.17 S;124.53 E;10;3.4;-;Timor Region (Status: confirmed)
11/11/2021;11:01:55.096;3.42 S;101.77 E;70;3.1;-;Southern Sumatra, Indonesia (Status: confirmed)
11/11/2021;10:48:55.367;1.40 S;134.11 E;18;2.7;-;Irian Jaya Region, Indonesia (Status: confirmed)
11/11/2021;10:47:43.265;6.49 S;104.03 E;10;3.2;-;Sunda Strait, Indonesia (Status: confirmed)
11/11/2021;10:11:51.976;0.48 N;121.33 E;73;3.3;-;Minahassa Peninsula, Sulawesi (Status: confirmed)
11/11/2021;09:35:06.989;9.57 S;112.91 E;10;3.8;-;South of Java, Indonesia (Status: confirmed)
11/11/2021;08:56:36.970;1.37 N;98.95 E;97;3.7;-;Northern Sumatra, Indonesia (Status: confirmed)
11/11/2021;08:11:32.264;6.13 S;103.50 E;10;3.3;-;Southwest of Sumatra, Indonesia (Status: confirmed)
11/11/2021;08:05:00.252;10.13 S;124.56 E;10;2.9;-;Timor Region (Status: confirmed)
11/11/2021;07:56:17.900;2.83 S;129.28 E;10;3.4;-;Seram, Indonesia (Status: confirmed)
11/11/2021;07:43:49.156;2.37 S;121.30 E;10;2.9;-;Sulawesi, Indonesia (Status: confirmed)
11/11/2021;07:43:15.027;2.92 S;129.31 E;14;3.1;-;Seram, Indonesia (Status: confirmed)
11/11/2021;07:29:47.666;8.73 S;110.37 E;10;3.6;-;Java, Indonesia (Status: confirmed)
11/11/2021;06:45:58.779;0.29 N;96.60 E;24;3.8;-;Off West Coast of Northern Sumatra (Status: confirmed)
11/11/2021;05:01:02.984;1.32 S;120.49 E;10;4.1;-;Sulawesi, Indonesia (Status: confirmed)
11/11/2021;03:59:31.185;1.90 S;122.59 E;10;3.8;-;Sulawesi, Indonesia (Status: confirmed)
11/11/2021;03:35:36.159;1.51 S;127.07 E;10;3.1;-;Halmahera, Indonesia (Status: confirmed)
11/11/2021;03:20:13.955;1.29 S;120.49 E;10;2.4;-;Sulawesi, Indonesia (Status: confirmed)
11/11/2021;03:13:10.047;0.29 N;96.63 E;22;4.0;-;Off West Coast of Northern Sumatra (Status: confirmed)
11/11/2021;00:14:48.884;6.02 S;130.12 E;157;3.7;-;Banda Sea (Status: confirmed)
10/11/2021;23:50:48.430;4.06 N;95.85 E;47;3.5;-;Northern Sumatra, Indonesia (Status: confirmed)
10/11/2021;22:10:35.154;9.21 S;119.12 E;64;3.9;-;Sumba Region, Indonesia (Status: confirmed)
10/11/2021;20:26:00.512;1.36 S;120.51 E;10;2.5;-;Sulawesi, Indonesia (Status: confirmed)
10/11/2021;20:23:27.752;4.18 S;134.39 E;64;4.1;-;Irian Jaya Region, Indonesia (Status: confirmed)
10/11/2021;19:11:27.888;1.33 S;120.50 E;10;3.5;-;Sulawesi, Indonesia (Status: confirmed)
10/11/2021;18:38:16.106;1.34 S;120.50 E;10;2.5;-;Sulawesi, Indonesia (Status: confirmed)
10/11/2021;18:36:07.378;0.29 S;124.17 E;61;3.1;-;Southern Molucca Sea (Status: confirmed)
10/11/2021;18:30:43.282;7.80 S;120.58 E;10;2.4;-;Flores Sea (Status: confirmed)
10/11/2021;18:21:38.058;4.22 S;134.43 E;19;3.7;-;Irian Jaya Region, Indonesia (Status: confirmed)
10/11/2021;18:15:38.061;4.23 S;134.47 E;61;3.7;-;Irian Jaya Region, Indonesia (Status: confirmed)
10/11/2021;18:07:43.439;9.26 S;119.03 E;39;2.7;-;Sumba Region, Indonesia (Status: confirmed)
10/11/2021;18:05:49.855;4.04 S;134.44 E;108;4.2;-;Irian Jaya Region, Indonesia (Status: confirmed)
10/11/2021;17:58:33.554;1.40 S;120.49 E;10;2.6;-;Sulawesi, Indonesia (Status: confirmed)
10/11/2021;17:56:42.353;0.45 N;123.14 E;17;3.2;-;Minahassa Peninsula, Sulawesi (Status: confirmed)
10/11/2021;17:46:40.553;4.30 S;134.22 E;10;6.0;Yes;Irian Jaya Region, Indonesia (Status: confirmed)
10/11/2021;17:40:13.246;1.47 N;124.88 E;216;3.8;-;Minahassa Peninsula, Sulawesi (Status: confirmed)
10/11/2021;17:38:02.506;1.41 S;120.49 E;10;2.1;-;Sulawesi, Indonesia (Status: confirmed)
10/11/2021;17:34:29.752;8.31 S;118.93 E;152;2.8;-;Sumbawa Region, Indonesia (Status: confirmed)
10/11/2021;17:03:36.012;7.90 S;117.33 E;10;2.2;-;Bali Sea (Status: confirmed)
10/11/2021;16:51:17.172;1.35 S;120.48 E;10;2.1;-;Sulawesi, Indonesia (Status: confirmed)
10/11/2021;16:20:54.738;8.05 S;107.35 E;21;3.2;-;Java, Indonesia (Status: confirmed)
10/11/2021;15:09:48.023;2.82 N;127.40 E;10;4.8;-;Northern Molucca Sea (Status: confirmed)
10/11/2021;14:25:17.081;1.95 N;96.64 E;23;4.7;-;Off West Coast of Northern Sumatra (Status: confirmed)
10/11/2021;11:05:12.700;2.62 S;101.62 E;71;3.3;-;Southern Sumatra, Indonesia (Status: confirmed)
10/11/2021;10:52:46.075;8.51 S;116.89 E;18;2.3;-;Sumbawa Region, Indonesia (Status: confirmed)
10/11/2021;10:10:03.240;2.82 S;129.29 E;10;3.9;-;Seram, Indonesia (Status: confirmed)
10/11/2021;08:48:13.558;4.74 S;101.94 E;10;4.3;-;Southern Sumatra, Indonesia (Status: confirmed)
10/11/2021;07:51:16.287;9.67 S;119.43 E;15;2.7;-;Sumba Region, Indonesia (Status: confirmed)
10/11/2021;07:18:15.639;0.26 N;96.62 E;11;4.3;-;Off West Coast of Northern Sumatra (Status: confirmed)
10/11/2021;07:02:01.657;0.29 N;122.26 E;141;2.9;-;Minahassa Peninsula, Sulawesi (Status: confirmed)
10/11/2021;06:46:10.284;3.78 S;101.56 E;10;3.9;-;Southern Sumatra, Indonesia (Status: confirmed)
10/11/2021;06:10:34.872;0.10 S;124.35 E;22;2.9;-;Southern Molucca Sea (Status: confirmed)
10/11/2021;06:09:12.697;1.23 S;120.37 E;13;2.2;-;Sulawesi, Indonesia (Status: confirmed)
10/11/2021;04:54:47.907;8.41 S;115.17 E;154;2.9;-;Bali Region, Indonesia (Status: confirmed)
10/11/2021;04:37:58.430;8.31 S;107.22 E;20;3.8;-;Java, Indonesia (Status: confirmed)
10/11/2021;04:02:55.261;1.33 S;120.50 E;10;2.6;-;Sulawesi, Indonesia (Status: confirmed)
10/11/2021;02:50:11.007;7.60 S;105.84 E;47;4.5;Yes;Java, Indonesia (Status: confirmed)
10/11/2021;02:22:18.012;2.78 S;129.25 E;10;3.0;-;Seram, Indonesia (Status: confirmed)
10/11/2021;01:49:47.245;0.13 S;124.44 E;10;4.5;-;Southern Molucca Sea (Status: confirmed)
10/11/2021;01:24:34.971;5.80 N;126.43 E;16;4.2;-;Mindanao, Philippines (Status: confirmed)
10/11/2021;01:12:18.640;2.82 S;129.06 E;10;3.1;-;Seram, Indonesia (Status: confirmed)
10/11/2021;00:33:43.559;7.68 S;108.40 E;96;3.8;-;Java, Indonesia (Status: confirmed)
09/11/2021;23:45:59.338;3.07 S;129.00 E;22;2.1;-;Seram, Indonesia (Status: confirmed)
09/11/2021;23:23:05.633;2.93 S;129.27 E;10;2.3;-;Seram, Indonesia (Status: confirmed)
09/11/2021;23:00:21.704;2.84 S;129.31 E;10;2.6;-;Seram, Indonesia (Status: confirmed)
09/11/2021;22:36:36.138;5.73 N;126.35 E;104;4.9;-;Mindanao, Philippines (Status: confirmed)
09/11/2021;21:42:45.549;3.04 S;129.17 E;10;2.4;-;Seram, Indonesia (Status: confirmed)
09/11/2021;21:24:39.613;2.89 S;129.30 E;10;2.0;-;Seram, Indonesia (Status: confirmed)
09/11/2021;21:07:20.796;4.47 N;125.34 E;222;4.2;-;Talaud Islands, Indonesia (Status: confirmed)
09/11/2021;21:03:23.310;2.86 S;139.98 E;10;2.8;-;Near North Coast of Irian Jaya (Status: confirmed)
09/11/2021;21:00:59.390;1.31 S;120.48 E;10;3.5;-;Sulawesi, Indonesia (Status: confirmed)
09/11/2021;20:41:18.380;1.02 N;121.38 E;10;2.8;-;Minahassa Peninsula, Sulawesi (Status: confirmed)
09/11/2021;20:17:40.296;6.21 S;130.23 E;166;3.4;-;Banda Sea (Status: confirmed)
09/11/2021;19:53:27.079;0.43 N;121.10 E;94;2.9;-;Minahassa Peninsula, Sulawesi (Status: confirmed)
09/11/2021;19:13:52.365;2.82 S;129.27 E;10;3.1;-;Seram, Indonesia (Status: confirmed)
09/11/2021;18:43:28.851;2.81 S;129.25 E;10;3.4;-;Seram, Indonesia (Status: confirmed)
09/11/2021;17:02:18.086;1.59 S;99.46 E;10;3.6;-;Southern Sumatra, Indonesia (Status: confirmed)
09/11/2021;15:37:55.457;5.95 N;126.67 E;10;4.8;-;Mindanao, Philippines (Status: confirmed)
09/11/2021;12:44:02.491;3.32 N;127.08 E;10;3.3;-;Talaud Islands, Indonesia (Status: confirmed)
