Lat,Lon,Dep,M,Region
-8.27,117.21,10,2.6,Sumbawa Region  
-8.27,117.17,12,4.6,Sumbawa Region  
-0.09,123.01,104,3.4,Minahassa Peninsula Sulawesi 
-0.79,127.56,12,2.7,Halmahera  
0.67,121.54,79,2.4,Minahassa Peninsula Sulawesi 
-8.31,117.18,11,3.2,Sumbawa Region  
2.38,128.37,205,2.6,Halmahera  
-2.04,100.07,10,3.4,Southern Sumatra  
0.3,124.0,196,4.2,Minahassa Peninsula Sulawesi 
-5.69,103.9,31,3.4,Southern Sumatra  
-7.7,106.59,20,3.6,Java  
1.57,127.13,127,2.5,Halmahera  
-2.58,120.81,20,2.6,Sulawesi  
-8.96,124.08,43,2.8,Timor Region 
-8.46,115.67,13,2.1,Bali Region  
-5.38,120.85,13,2.6,Sulawesi  
1.71,99.41,163,3.3,Northern Sumatra  
3.66,117.75,10,3.6,Borneo 
1.05,127.43,10,2.7,Halmahera  
-0.66,127.51,10,3.5,Halmahera  
1.14,128.11,10,3.9,Halmahera  
-1.85,128.93,10,3.6,Halmahera  
4.51,96.44,10,3.3,Northern Sumatra  
-9.42,123.22,22,3.1,Timor Region 
-8.24,117.17,10,2.3,Sumbawa Region  
-8.15,118.5,188,3.5,Sumbawa Region  
3.32,126.77,10,4.5,Talaud Islands  
-0.28,133.48,10,3.0,Irian Jaya Region  
-2.53,129.48,14,3.4,Seram  
0.79,125.93,10,3.0,Northern Molucca Sea 
-7.5,128.33,28,4.2,Banda Sea 
1.29,122.18,56,5.2,Minahassa Peninsula Sulawesi 
1.28,126.8,12,3.0,Northern Molucca Sea 
1.1,128.14,10,3.1,Halmahera  
1.1,128.13,10,3.8,Halmahera  
1.09,128.12,10,2.9,Halmahera  
-3.48,129.44,10,2.2,Seram  
1.12,128.12,10,3.9,Halmahera  
2.87,95.41,42,5.4,Off West Coast of Northern Sumatra 
-2.13,100.78,18,3.3,Southern Sumatra  
-6.54,130.61,118,4.1,Banda Sea 
-9.59,116.39,34,2.7,Sumbawa Region  
4.71,95.93,86,2.8,Northern Sumatra  
2.94,126.71,10,3.5,Northern Molucca Sea 
-1.71,138.2,10,3.5,Near North Coast of Irian Jaya 
-2.89,119.4,10,2.5,Sulawesi  
-3.95,134.86,10,3.6,Irian Jaya Region  
-2.66,140.91,10,3.3,Near North Coast of Irian Jaya 
-7.11,105.51,10,4.1,Java  
-8.15,107.91,16,4.4,Java  
-0.04,98.39,10,3.2,Southern Sumatra  
0.93,117.84,16,3.7,Borneo 
-3.79,131.83,28,2.9,Irian Jaya Region  
2.29,126.85,25,4.0,Northern Molucca Sea 
-8.78,123.85,90,2.6,Flores Region  
-2.41,120.91,26,2.2,Sulawesi  
1.72,96.7,13,3.4,Off West Coast of Northern Sumatra 
1.91,125.94,16,3.6,Northern Molucca Sea 
-8.1,107.2,12,3.6,Java  
-0.78,127.64,10,2.6,Halmahera  
-0.64,127.49,10,4.6,Halmahera  
-0.18,124.75,24,3.9,Southern Molucca Sea 
5.61,98.1,33,3.7,Northern Sumatra  
-5.18,129.53,213,3.2,Banda Sea 
-9.13,118.52,57,2.7,Sumbawa Region  
1.18,126.41,10,3.0,Northern Molucca Sea 
1.4,126.71,25,2.6,Northern Molucca Sea 
-3.69,131.45,19,2.8,Irian Jaya Region  
-10.74,123.33,10,2.6,Timor Region 
-9.5,115.84,29,2.9,South of Bali  
1.14,126.7,22,2.7,Northern Molucca Sea 
3.84,128.78,33,4.6,North of Halmahera  
-8.33,119.49,142,4.6,Flores Region  
-9.55,123.25,10,3.1,Timor Region 
-0.13,122.95,139,2.9,Minahassa Peninsula Sulawesi 
-2.68,139.16,10,4.6,Near North Coast of Irian Jaya 
-0.52,99.67,63,5.1,Southern Sumatra  
4.24,95.36,51,3.3,Northern Sumatra  
-2.37,120.43,10,2.6,Sulawesi  
-0.21,123.24,96,3.8,Minahassa Peninsula Sulawesi 
-2.27,120.39,10,3.1,Sulawesi  
-4.31,129.31,192,3.2,Banda Sea 
-9.87,124.06,10,2.8,Timor Region 
-8.01,119.07,68,3.2,Flores Region  
0.97,126.16,10,4.3,Northern Molucca Sea 
1.21,127.16,16,2.4,Halmahera  
-2.33,138.9,38,3.5,Irian Jaya  
-2.95,127.64,10,2.5,Ceram Sea 
-3.62,100.95,10,3.7,Southern Sumatra  
0.98,126.11,10,3.6,Northern Molucca Sea 
-0.31,98.61,10,3.9,Southern Sumatra  
-9.26,118.78,10,3.9,Sumbawa Region  
-9.31,122.82,30,2.7,Savu Sea 
0.81,98.75,28,2.3,Northern Sumatra  
1.17,126.22,11,3.5,Northern Molucca Sea 
4.84,96.08,11,2.6,Northern Sumatra  
-0.55,121.89,10,3.3,Minahassa Peninsula Sulawesi 
-2.68,139.48,52,3.9,Near North Coast of Irian Jaya 
-2.61,139.25,21,3.0,Near North Coast of Irian Jaya 
-2.76,127.03,24,2.6,Ceram Sea 
-8.57,110.34,41,3.2,Java  
2.42,128.69,14,3.1,Halmahera  
-8.65,116.33,110,2.4,Sumbawa Region  
-2.52,139.31,10,3.3,Near North Coast of Irian Jaya 
-7.08,125.13,534,4.5,Banda Sea 
-8.54,118.39,114,3.7,Sumbawa Region  
-1.56,128.0,12,3.8,Halmahera  
-10.44,123.36,20,2.9,Timor Region 
-9.01,118.87,17,2.6,Sumbawa Region  
0.5,126.19,23,4.0,Northern Molucca Sea 
1.36,127.59,12,2.5,Halmahera  
1.17,126.75,21,4.2,Northern Molucca Sea 
1.15,126.77,24,2.4,Northern Molucca Sea 
2.24,128.04,10,2.5,Halmahera  
-0.06,124.06,10,3.0,Southern Molucca Sea 
-2.93,119.37,10,3.4,Sulawesi  
-2.47,121.25,10,3.0,Sulawesi  
-0.12,122.78,121,2.8,Minahassa Peninsula Sulawesi 
0.21,121.82,164,3.4,Minahassa Peninsula Sulawesi 
1.16,126.4,10,2.9,Northern Molucca Sea 
-9.21,115.1,64,3.8,South of Bali  
0.44,98.68,10,2.8,Northern Sumatra  
3.37,96.26,10,3.2,Northern Sumatra  
0.59,119.38,19,3.4,Minahassa Peninsula Sulawesi 
0.53,119.45,19,3.6,Minahassa Peninsula Sulawesi 
-10.02,116.17,10,4.6,South of Sumbawa  
-9.76,118.22,54,3.3,Sumbawa Region  
-3.0,122.18,10,2.4,Sulawesi  
0.27,122.57,141,2.2,Minahassa Peninsula Sulawesi 
-2.31,140.3,10,3.8,Near North Coast of Irian Jaya 
-2.34,140.32,10,4.0,Near North Coast of Irian Jaya 
1.74,126.56,10,3.4,Northern Molucca Sea 
1.19,126.84,28,2.9,Northern Molucca Sea 
-9.57,119.11,25,3.3,Sumba Region  
0.67,119.44,10,2.5,Minahassa Peninsula Sulawesi 
2.85,127.97,10,3.9,Northern Molucca Sea 
-2.95,119.42,10,3.3,Sulawesi  
-1.49,135.08,52,3.4,Irian Jaya Region  
-7.57,106.49,81,2.8,Java  
-10.15,124.14,10,3.3,Timor Region 
-2.65,122.01,10,2.8,Sulawesi  
-2.84,119.37,10,2.4,Sulawesi  
-2.96,119.4,10,3.0,Sulawesi  
-2.91,119.4,10,2.3,Sulawesi  
-2.95,119.37,10,2.5,Sulawesi  
-9.36,117.29,10,2.3,Sumbawa Region  
3.59,127.38,10,3.4,Talaud Islands  
3.52,127.19,59,3.3,Talaud Islands  
3.17,127.0,14,3.5,Talaud Islands  
0.16,125.35,10,3.4,Northern Molucca Sea 
-3.42,140.83,10,3.4,Irian Jaya  
-2.52,121.19,10,2.9,Sulawesi  
0.87,122.77,19,3.3,Minahassa Peninsula Sulawesi 
-8.29,123.5,10,3.1,Flores Region  
1.66,99.13,10,3.1,Northern Sumatra  
-4.59,101.88,10,4.7,Southern Sumatra  
-8.3,118.35,110,2.8,Sumbawa Region  
-0.89,122.05,10,3.0,Minahassa Peninsula Sulawesi 
1.81,126.47,10,3.4,Northern Molucca Sea 
1.66,99.16,10,2.9,Northern Sumatra  
-2.85,121.98,14,3.0,Sulawesi  
-8.94,112.34,90,3.7,Java  
0.19,126.69,96,4.2,Northern Molucca Sea 
-3.16,129.4,10,3.5,Seram  
-0.06,123.23,64,3.3,Minahassa Peninsula Sulawesi 
-1.93,122.61,10,3.0,Sulawesi  
1.02,99.73,162,2.8,Northern Sumatra  
-7.91,118.59,27,3.2,Flores Sea 
-2.35,140.44,10,3.4,Near North Coast of Irian Jaya 
-10.71,115.17,21,3.8,South of Bali  
-3.93,134.99,10,4.6,Irian Jaya Region  
-3.13,128.4,13,3.7,Seram  
-1.42,134.21,40,3.2,Irian Jaya Region  
-9.08,123.26,54,3.9,Timor Region 
-6.56,105.18,19,3.1,Sunda Strait  
-3.68,128.51,107,4.0,Seram  
-8.58,112.25,102,3.6,Java  
-1.27,134.45,57,3.7,Irian Jaya Region  
-7.51,109.18,223,3.6,Java  
1.15,121.71,10,3.1,Minahassa Peninsula Sulawesi 
4.53,95.13,30,3.1,Northern Sumatra  
5.0,95.99,14,2.8,Northern Sumatra  
-9.77,120.72,57,4.5,Sumba Region  
-3.15,129.43,16,3.6,Seram  
-5.0,102.23,13,4.1,Southern Sumatra  
2.71,96.68,21,2.4,Northern Sumatra  
-10.35,113.36,10,4.2,South of Java  
-4.0,134.98,23,5.2,Irian Jaya Region  
4.28,96.87,137,3.8,Northern Sumatra  
-0.0,124.47,58,3.5,Southern Molucca Sea 
-2.96,127.69,10,3.9,Ceram Sea 
0.83,126.09,10,2.9,Northern Molucca Sea 
-2.87,127.27,10,3.0,Ceram Sea 
2.61,98.79,10,2.5,Northern Sumatra  
-3.59,140.28,67,3.9,Irian Jaya  
-8.59,123.9,97,3.6,Flores Region  
-8.93,118.93,105,4.1,Sumbawa Region  
0.74,121.64,43,2.4,Minahassa Peninsula Sulawesi 
-0.35,123.08,47,4.4,Minahassa Peninsula Sulawesi 
-8.92,114.94,74,3.7,Bali Region  
3.31,96.16,10,4.2,Northern Sumatra  
-3.01,102.45,133,3.6,Southern Sumatra  
-8.24,115.51,10,3.2,Bali Region  
-7.63,128.41,135,4.6,Banda Sea 
-8.68,114.95,97,3.7,Bali Region  
-9.09,115.97,87,3.8,South of Bali  
-0.36,122.93,12,4.7,Minahassa Peninsula Sulawesi 
-3.13,102.43,146,4.5,Southern Sumatra  
-8.86,121.58,10,3.3,Flores Region  
-6.07,103.72,24,4.6,Southwest of Sumatra  
-8.85,120.53,105,4.6,Flores Region  
3.26,126.95,15,4.1,Talaud Islands  
-4.07,140.07,94,4.9,Irian Jaya  
3.21,126.97,10,4.4,Talaud Islands  
-1.8,122.47,10,3.7,Sulawesi  
-2.47,121.18,10,3.6,Sulawesi  
-1.84,122.5,10,3.6,Sulawesi  
1.09,120.94,21,3.0,Minahassa Peninsula Sulawesi 
-2.87,118.99,12,2.0,Sulawesi  
-3.35,140.32,24,3.8,Irian Jaya  
0.39,120.55,39,3.0,Minahassa Peninsula Sulawesi 
-8.2,119.74,10,2.9,Flores Region  
-4.17,122.32,16,2.7,Sulawesi  
0.65,122.43,10,3.0,Minahassa Peninsula Sulawesi 
-8.03,114.2,10,2.9,Bali Region  
-0.23,122.9,16,3.3,Minahassa Peninsula Sulawesi 
-0.29,134.0,10,3.7,Irian Jaya Region  
-0.79,122.9,10,3.7,Minahassa Peninsula Sulawesi 
-0.75,122.71,10,3.3,Minahassa Peninsula Sulawesi 
-7.17,106.19,30,2.8,Java  
-8.35,122.07,10,2.9,Flores Region  
0.15,96.68,18,3.7,Off West Coast of Northern Sumatra 
1.12,120.88,10,3.0,Minahassa Peninsula Sulawesi 
-0.26,123.0,64,3.2,Minahassa Peninsula Sulawesi 
0.41,126.05,10,3.6,Northern Molucca Sea 
-8.31,122.22,10,3.9,Flores Region  
-0.04,125.72,10,3.7,Southern Molucca Sea 
-5.3,103.16,26,2.7,Southern Sumatra  
-1.64,138.95,10,3.3,Near North Coast of Irian Jaya 
0.97,121.62,16,2.5,Minahassa Peninsula Sulawesi 
-8.08,123.93,130,3.0,Flores Region  
5.28,95.76,10,2.1,Northern Sumatra  
-9.44,118.07,23,3.2,Sumbawa Region  
-3.99,122.34,28,2.3,Sulawesi  
-9.45,115.15,29,3.2,South of Bali  
-0.12,123.16,110,2.5,Minahassa Peninsula Sulawesi 
4.5,96.46,31,2.8,Northern Sumatra  
4.14,126.95,10,4.8,Talaud Islands  
-2.58,127.36,10,3.0,Ceram Sea 
-4.23,129.12,189,2.8,Banda Sea 
-2.51,127.52,17,4.9,Ceram Sea 
0.17,122.09,164,2.2,Minahassa Peninsula Sulawesi 
-8.02,122.87,12,2.9,Flores Region  
-9.36,115.18,35,2.7,South of Bali  
0.31,122.31,110,2.1,Minahassa Peninsula Sulawesi 
1.49,126.46,10,3.1,Northern Molucca Sea 
-0.31,124.16,10,3.5,Southern Molucca Sea 
-7.42,120.1,518,3.5,Flores Sea 
-7.27,128.4,10,4.6,Banda Sea 
1.2,119.58,10,3.7,Celebes Sea 
4.55,96.43,10,2.7,Northern Sumatra  
-2.04,99.59,39,4.9,Southern Sumatra  
-6.43,130.09,165,4.4,Banda Sea 
-8.4,121.15,10,3.2,Flores Region  
-4.66,139.29,12,3.2,Irian Jaya  
-8.11,123.92,150,3.4,Flores Region  
-5.65,105.8,177,3.1,Sunda Strait  
-0.22,124.47,10,4.9,Southern Molucca Sea 
2.34,96.06,10,3.1,Northern Sumatra  
-1.32,120.47,10,2.8,Sulawesi  
1.04,120.1,10,3.8,Minahassa Peninsula Sulawesi 
-2.21,121.64,10,2.2,Sulawesi  
-1.36,120.48,10,2.5,Sulawesi  
1.19,120.46,10,3.6,Minahassa Peninsula Sulawesi 
-7.36,106.14,28,3.8,Java  
-3.29,128.77,10,2.6,Seram  
-9.49,113.04,10,4.8,South of Java  
-3.86,104.87,10,3.0,Southern Sumatra  
3.62,128.66,10,4.4,North of Halmahera  
-2.41,120.74,10,2.5,Sulawesi  
-0.97,121.49,10,3.2,Minahassa Peninsula Sulawesi 
-7.92,106.64,13,3.0,Java  
-8.08,107.87,22,3.1,Java  
0.64,98.3,10,2.3,Northern Sumatra  
-8.38,116.0,12,2.8,Bali Region  
-9.08,117.18,10,2.1,Sumbawa Region  
-9.39,115.41,29,2.9,South of Bali  
-0.95,121.5,10,2.5,Minahassa Peninsula Sulawesi 
0.41,124.02,177,3.8,Minahassa Peninsula Sulawesi 
-2.94,119.4,10,2.8,Sulawesi  
-10.55,124.33,14,3.0,Timor Region 
-3.32,128.74,10,3.4,Seram  
-0.46,135.93,10,3.9,Irian Jaya Region  
-2.66,128.82,10,3.2,Ceram Sea 
-2.69,128.81,10,2.9,Ceram Sea 
-2.81,129.63,10,2.9,Seram  
-7.96,117.54,17,2.4,Bali Sea 
-5.61,131.1,19,5.0,Banda Sea 
-9.38,113.28,24,3.8,South of Java  
-9.81,124.07,10,3.2,Timor Region 
3.63,126.79,23,3.8,Talaud Islands  
-9.49,117.52,27,3.3,Sumbawa Region  
4.09,95.62,25,3.2,Northern Sumatra  
4.57,96.45,10,2.1,Northern Sumatra  
2.83,98.92,149,2.6,Northern Sumatra  
-1.92,122.4,14,3.1,Sulawesi  
1.92,127.29,94,4.0,Halmahera  
-3.95,121.83,10,3.1,Sulawesi  
0.92,125.99,10,3.4,Northern Molucca Sea 
-0.27,122.41,22,2.8,Minahassa Peninsula Sulawesi 
1.42,127.02,108,3.0,Halmahera  
0.23,99.53,10,2.6,Northern Sumatra  
-9.49,124.74,10,2.8,Timor Region 
0.23,121.89,170,3.0,Minahassa Peninsula Sulawesi 
-10.35,123.42,10,3.0,Timor Region 
0.66,121.7,70,3.9,Minahassa Peninsula Sulawesi 
4.0,126.54,39,3.2,Talaud Islands  
-0.0,124.51,30,3.4,Southern Molucca Sea 
4.17,125.97,135,4.1,Talaud Islands  
-8.36,119.77,153,3.1,Flores Region  
0.52,122.63,40,2.2,Minahassa Peninsula Sulawesi 
-4.8,102.54,48,4.8,Southern Sumatra  
4.06,96.23,59,2.9,Northern Sumatra  
-0.05,98.67,10,4.0,Southern Sumatra  
-0.34,98.63,26,3.5,Southern Sumatra  
-9.21,121.3,97,3.8,Savu Sea 
0.49,98.52,10,3.6,Northern Sumatra  
0.31,122.01,160,3.8,Minahassa Peninsula Sulawesi 
1.89,127.3,102,3.6,Halmahera  
-8.97,111.25,10,3.6,Java  
4.84,126.82,10,4.4,Talaud Islands  
5.55,95.85,72,3.3,Northern Sumatra  
-3.94,122.44,10,3.0,Sulawesi  
-1.86,133.54,21,2.3,Irian Jaya Region  
2.27,96.92,10,2.5,Northern Sumatra  
-3.95,121.83,10,2.4,Sulawesi  
-0.16,122.91,16,2.5,Minahassa Peninsula Sulawesi 
-2.79,138.75,59,4.2,Irian Jaya  
-8.95,113.03,20,3.6,Java  
-0.11,123.92,103,4.6,Minahassa Peninsula Sulawesi 
0.21,99.56,10,4.0,Northern Sumatra  
0.67,98.54,14,3.7,Northern Sumatra  
-3.99,122.47,10,3.5,Sulawesi  
-6.17,130.83,139,4.4,Banda Sea 
0.71,121.92,73,2.0,Minahassa Peninsula Sulawesi 
1.16,127.78,10,3.2,Halmahera  
1.16,128.22,10,3.8,Halmahera  
-0.75,121.57,10,3.0,Minahassa Peninsula Sulawesi 
-4.56,133.61,21,3.4,Irian Jaya Region  
-0.02,132.24,32,3.6,Irian Jaya Region  
-7.71,106.62,19,2.9,Java  
-5.65,128.69,317,4.6,Banda Sea 
-8.7,118.41,111,3.5,Sumbawa Region  
-2.65,139.69,71,3.9,Near North Coast of Irian Jaya 
-3.38,140.2,10,3.6,Irian Jaya  
-3.37,133.99,10,4.0,Irian Jaya Region  
-0.3,98.68,10,3.1,Southern Sumatra  
1.47,128.03,16,2.6,Halmahera  
-8.87,111.9,23,3.5,Java  
-8.98,124.02,70,4.5,Timor Region 
-6.38,128.33,329,4.5,Banda Sea 
-6.34,130.33,165,4.5,Banda Sea 
-2.88,119.35,10,2.6,Sulawesi  
-6.82,105.47,10,3.5,Sunda Strait  
-3.1,130.55,10,2.5,Seram  
-3.89,101.54,12,2.9,Southern Sumatra  
4.87,95.99,12,2.1,Northern Sumatra  
4.33,96.49,10,2.6,Northern Sumatra  
-0.11,124.47,13,4.9,Southern Molucca Sea 
-3.34,140.1,10,3.1,Irian Jaya  
-3.6,138.41,91,3.4,Irian Jaya  
-0.93,121.46,10,3.4,Minahassa Peninsula Sulawesi 
-1.69,120.45,10,2.3,Sulawesi  
-7.3,129.41,174,4.6,Banda Sea 
1.34,126.42,12,3.3,Northern Molucca Sea 
-4.25,134.17,10,3.6,Irian Jaya Region  
-2.5,120.74,10,3.5,Sulawesi  
-7.89,117.69,20,4.4,Bali Sea 
-5.13,129.7,227,4.3,Banda Sea 
-3.07,141.98,10,4.4,New Guinea Papua New Guinea 
-0.57,121.87,10,3.4,Minahassa Peninsula Sulawesi 
0.02,119.85,10,2.2,Minahassa Peninsula Sulawesi 
-4.3,137.09,14,4.1,Irian Jaya  
-7.85,120.21,29,2.7,Flores Sea 
-0.01,122.99,165,2.9,Minahassa Peninsula Sulawesi 
-0.37,98.62,10,3.7,Southern Sumatra  
-6.85,129.17,257,4.3,Banda Sea 
-3.38,140.22,10,4.5,Irian Jaya  
-3.01,141.96,22,4.6,New Guinea Papua New Guinea 
-9.48,115.41,22,3.6,South of Bali  
-4.86,103.94,10,3.0,Southern Sumatra  
1.86,127.74,35,2.7,Halmahera  
1.42,127.36,122,4.2,Halmahera  
2.37,128.53,220,3.2,Halmahera  
1.28,98.07,15,3.3,Northern Sumatra  
-7.81,107.3,28,3.1,Java  
1.18,125.83,91,3.2,Northern Molucca Sea 
-7.77,117.47,20,2.9,Bali Sea 
-2.93,119.34,10,2.9,Sulawesi  
-3.87,141.63,23,4.5,New Guinea Papua New Guinea 
2.72,98.84,166,4.4,Northern Sumatra  
-1.6,120.21,10,2.4,Sulawesi  
-2.79,128.01,10,2.5,Ceram Sea 
-7.35,126.62,285,4.1,Banda Sea 
-7.98,118.75,13,4.4,Flores Sea 
-1.59,120.18,10,2.7,Sulawesi  
-8.27,118.02,10,3.2,Sumbawa Region  
-0.85,123.41,10,3.1,Minahassa Peninsula Sulawesi 
-3.34,140.24,32,4.4,Irian Jaya  
-7.63,122.35,10,3.0,Flores Sea 
1.78,126.59,10,3.5,Northern Molucca Sea 
-1.7,100.45,25,3.5,Southern Sumatra  
-3.24,140.48,21,3.7,Irian Jaya  
-8.36,119.74,136,3.3,Flores Region  
-8.45,108.46,11,3.6,Java  
-9.65,121.93,10,3.8,Savu Sea 
-4.65,130.54,57,3.8,Banda Sea 
-9.62,118.92,10,3.1,Sumbawa Region  
0.31,121.93,166,2.5,Minahassa Peninsula Sulawesi 
-3.39,140.25,10,3.7,Irian Jaya  
-6.38,104.88,10,4.1,Sunda Strait  
-3.81,122.84,10,3.9,Sulawesi  
-8.7,124.41,85,3.7,Timor Region 
1.46,99.31,10,2.8,Northern Sumatra  
-8.4,119.83,168,2.1,Flores Region  
-6.73,130.27,263,3.9,Banda Sea 
-3.39,140.14,10,3.5,Irian Jaya  
-3.35,140.19,10,3.9,Irian Jaya  
-3.46,140.36,41,4.9,Irian Jaya  
2.38,96.12,10,3.3,Northern Sumatra  
0.76,126.99,12,2.4,Northern Molucca Sea 
-2.26,138.9,19,3.4,Irian Jaya  
4.87,96.08,10,3.0,Northern Sumatra  
0.95,121.24,10,3.3,Minahassa Peninsula Sulawesi 
-3.4,140.17,10,3.3,Irian Jaya  
-3.35,140.17,10,3.8,Irian Jaya  
-3.35,140.18,10,3.2,Irian Jaya  
0.49,121.15,62,3.0,Minahassa Peninsula Sulawesi 
-3.36,140.15,10,3.2,Irian Jaya  
-3.42,140.33,10,3.0,Irian Jaya  
-0.08,98.7,12,3.1,Southern Sumatra  
-9.54,119.88,43,2.9,Sumba Region  
-0.03,124.82,26,2.8,Southern Molucca Sea 
-3.42,140.21,10,3.2,Irian Jaya  
-3.38,140.13,10,3.1,Irian Jaya  
-3.4,140.15,10,3.3,Irian Jaya  
-3.39,140.13,10,3.3,Irian Jaya  
-3.37,140.05,10,3.5,Irian Jaya  
-9.09,124.21,66,3.7,Timor Region 
-10.65,119.09,10,3.4,Sumba Region  
-3.39,140.12,21,3.4,Irian Jaya  
-3.43,140.2,10,3.5,Irian Jaya  
-3.41,140.14,10,3.2,Irian Jaya  
-3.41,140.24,10,4.0,Irian Jaya  
-3.49,140.23,10,3.0,Irian Jaya  
-8.23,119.85,175,3.0,Flores Region  
-8.37,125.03,13,2.5,Timor Region 
-3.51,140.21,10,3.1,Irian Jaya  
-0.14,120.21,27,3.0,Minahassa Peninsula Sulawesi 
-2.37,140.49,10,3.8,Near North Coast of Irian Jaya 
-3.42,140.26,10,3.3,Irian Jaya  
-3.37,140.21,10,3.5,Irian Jaya  
-3.37,140.2,10,3.8,Irian Jaya  
0.14,121.86,156,3.3,Minahassa Peninsula Sulawesi 
-10.41,118.85,13,3.6,South of Sumbawa  
-3.41,140.3,10,3.4,Irian Jaya  
-3.38,140.13,10,3.3,Irian Jaya  
-3.44,140.2,10,3.6,Irian Jaya  
-3.37,140.12,10,3.5,Irian Jaya  
-3.48,140.59,10,3.6,Irian Jaya  
-3.51,140.4,53,5.7,Irian Jaya  
-3.42,140.23,10,3.9,Irian Jaya  
-3.53,140.15,10,3.6,Irian Jaya  
-2.44,121.64,10,3.9,Sulawesi  
-0.35,123.93,64,3.9,Minahassa Peninsula Sulawesi 
-2.2,128.07,13,3.4,Ceram Sea 
-9.74,120.21,74,5.1,Sumba Region  
-6.81,129.79,183,4.3,Banda Sea 
-2.69,139.09,10,3.9,Near North Coast of Irian Jaya 
0.58,119.42,10,3.1,Minahassa Peninsula Sulawesi 
-1.84,99.89,10,3.4,Southern Sumatra  
-3.29,129.38,11,2.4,Seram  
3.13,125.19,184,4.3,Talaud Islands  
4.5,96.47,10,3.0,Northern Sumatra  
5.82,95.33,10,3.0,Northern Sumatra  
-9.5,118.35,10,3.8,Sumbawa Region  
-5.5,103.28,19,3.3,Southern Sumatra  
-2.78,128.01,11,2.8,Ceram Sea 
-2.77,128.05,10,4.5,Ceram Sea 
-2.63,121.03,14,2.5,Sulawesi  
-0.55,121.5,10,2.7,Minahassa Peninsula Sulawesi 
-8.76,120.5,106,3.8,Flores Region  
-0.11,124.96,10,3.6,Southern Molucca Sea 
-2.93,119.37,10,2.2,Sulawesi  
-8.12,124.3,11,2.7,Timor Region 
-9.0,124.22,51,2.2,Timor Region 
-7.57,120.23,357,3.6,Flores Sea 
-7.23,106.14,30,3.0,Java  
0.38,125.43,18,3.1,Northern Molucca Sea 
-1.61,120.19,10,2.1,Sulawesi  
-8.75,118.88,10,3.3,Sumbawa Region  
-5.52,103.46,27,3.5,Southern Sumatra  
-8.38,121.88,10,2.5,Flores Region  
-8.35,121.21,154,2.6,Flores Region  
-4.52,137.04,20,4.4,Irian Jaya  
-0.27,135.63,10,3.7,Irian Jaya Region  
-2.92,119.4,10,2.9,Sulawesi  
3.03,128.23,154,3.6,North of Halmahera  
-5.51,103.23,11,4.1,Southern Sumatra  
0.2,123.59,101,2.5,Minahassa Peninsula Sulawesi 
-2.82,127.71,10,2.4,Ceram Sea 
0.76,125.21,19,3.3,Northern Molucca Sea 
-3.46,120.86,10,3.4,Sulawesi  
0.58,98.19,12,2.5,Northern Sumatra  
-3.44,126.68,23,2.8,Buru  
0.24,96.63,12,3.7,Off West Coast of Northern Sumatra 
-1.88,122.58,12,3.5,Sulawesi  
1.11,126.69,73,2.7,Northern Molucca Sea 
-8.36,123.53,126,3.2,Flores Region  
-2.9,119.4,10,3.4,Sulawesi  
-1.85,133.48,15,2.5,Irian Jaya Region  
-8.86,116.9,10,3.3,Sumbawa Region  
-1.45,133.36,10,3.9,Irian Jaya Region  
3.04,124.71,15,4.2,Celebes Sea 
-9.27,118.51,94,4.3,Sumbawa Region  
0.05,121.56,149,3.0,Minahassa Peninsula Sulawesi 
-0.83,121.85,10,3.4,Minahassa Peninsula Sulawesi 
-7.8,106.5,10,3.6,Java  
-2.69,140.51,23,3.2,Near North Coast of Irian Jaya 
-2.34,140.47,10,3.5,Near North Coast of Irian Jaya 
-9.35,121.83,26,2.7,Savu Sea 
-8.11,115.13,11,2.4,Bali Region  
-6.77,121.82,10,3.0,Flores Sea 
-7.56,128.6,176,4.8,Banda Sea 
0.27,122.4,155,4.4,Minahassa Peninsula Sulawesi 
-2.87,127.8,10,2.9,Ceram Sea 
-0.04,123.16,129,2.4,Minahassa Peninsula Sulawesi 
-2.66,141.66,56,4.1,Near N. Coast of New Guinea PNG. 
4.67,96.77,10,3.1,Northern Sumatra  
-5.76,105.77,185,3.5,Sunda Strait  
2.52,128.45,17,3.1,Halmahera  
-2.92,127.82,13,2.8,Ceram Sea 
-10.62,119.02,10,3.1,Sumba Region  
-8.39,123.84,10,3.2,Flores Region  
-0.78,121.99,10,4.0,Minahassa Peninsula Sulawesi 
-0.69,121.52,10,3.0,Minahassa Peninsula Sulawesi 
-0.75,121.6,31,3.4,Minahassa Peninsula Sulawesi 
-2.86,139.02,10,3.9,Near North Coast of Irian Jaya 
-0.61,127.42,106,3.7,Halmahera  
-2.12,140.68,16,5.0,Near North Coast of Irian Jaya 
-0.77,121.6,10,3.2,Minahassa Peninsula Sulawesi 
-0.77,121.6,10,3.8,Minahassa Peninsula Sulawesi 
4.99,125.49,159,4.7,Talaud Islands  
-0.84,121.6,10,2.8,Minahassa Peninsula Sulawesi 
-0.76,121.48,20,3.3,Minahassa Peninsula Sulawesi 
-2.22,140.09,10,4.2,Near North Coast of Irian Jaya 
0.04,119.77,16,2.9,Minahassa Peninsula Sulawesi 
-0.81,121.52,10,5.8,Minahassa Peninsula Sulawesi 
-3.39,129.49,10,3.7,Seram  
-3.06,101.21,19,3.4,Southern Sumatra  
-7.95,117.84,24,3.6,Bali Sea 
