Lat,Lon,Dep,M,Region
2.0,99.09,125,2.7,Northern Sumatra  
-3.52,128.09,17,2.8,Seram  
0.09,124.37,38,3.8,Minahassa Peninsula Sulawesi 
-1.31,120.5,10,2.4,Sulawesi  
1.32,98.84,81,5.1,Northern Sumatra  
-8.32,120.63,25,3.4,Flores Region  
2.18,96.16,10,4.9,Northern Sumatra  
-2.71,129.53,10,3.2,Seram  
-4.18,119.63,10,3.2,Sulawesi  
-0.4,124.24,15,4.2,Southern Molucca Sea 
0.27,98.51,27,4.8,Northern Sumatra  
-3.76,128.81,113,3.4,Seram  
-8.24,117.58,10,2.9,Sumbawa Region  
-9.91,116.84,10,2.8,Sumbawa Region  
-9.01,124.2,48,2.8,Timor Region 
-9.41,117.79,33,4.3,Sumbawa Region  
-9.07,117.61,99,3.7,Sumbawa Region  
-0.3,123.24,32,2.6,Minahassa Peninsula Sulawesi 
-2.71,129.4,10,3.0,Seram  
-0.36,122.93,13,3.1,Minahassa Peninsula Sulawesi 
-4.33,138.55,169,3.8,Irian Jaya  
-3.08,129.01,10,2.1,Seram  
-4.16,134.37,18,3.6,Irian Jaya Region  
-7.07,108.08,166,3.9,Java  
-1.86,122.59,16,3.4,Sulawesi  
-8.3,110.03,56,3.0,Java  
0.54,121.18,70,3.0,Minahassa Peninsula Sulawesi 
-8.91,124.12,51,2.6,Timor Region 
-1.02,126.73,12,3.2,Southern Molucca Sea 
-2.83,129.29,11,2.8,Seram  
0.43,124.19,50,2.7,Minahassa Peninsula Sulawesi 
-4.07,103.39,10,2.2,Southern Sumatra  
0.14,124.23,28,2.8,Minahassa Peninsula Sulawesi 
-10.17,124.53,10,3.4,Timor Region 
-3.42,101.77,70,3.1,Southern Sumatra  
-1.4,134.11,18,2.7,Irian Jaya Region  
-6.49,104.03,10,3.2,Sunda Strait  
0.48,121.33,73,3.3,Minahassa Peninsula Sulawesi 
-9.57,112.91,10,3.8,South of Java  
1.37,98.95,97,3.7,Northern Sumatra  
-6.13,103.5,10,3.3,Southwest of Sumatra  
-10.13,124.56,10,2.9,Timor Region 
-2.83,129.28,10,3.4,Seram  
-2.37,121.3,10,2.9,Sulawesi  
-2.92,129.31,14,3.1,Seram  
-8.73,110.37,10,3.6,Java  
0.29,96.6,24,3.8,Off West Coast of Northern Sumatra 
-1.32,120.49,10,4.1,Sulawesi  
-1.9,122.59,10,3.8,Sulawesi  
-1.51,127.07,10,3.1,Halmahera  
-1.29,120.49,10,2.4,Sulawesi  
0.29,96.63,22,4.0,Off West Coast of Northern Sumatra 
-6.02,130.12,157,3.7,Banda Sea 
4.06,95.85,47,3.5,Northern Sumatra  
-9.21,119.12,64,3.9,Sumba Region  
-1.36,120.51,10,2.5,Sulawesi  
-4.18,134.39,64,4.1,Irian Jaya Region  
-1.33,120.5,10,3.5,Sulawesi  
-1.34,120.5,10,2.5,Sulawesi  
-0.29,124.17,61,3.1,Southern Molucca Sea 
-7.8,120.58,10,2.4,Flores Sea 
-4.22,134.43,19,3.7,Irian Jaya Region  
-4.23,134.47,61,3.7,Irian Jaya Region  
-9.26,119.03,39,2.7,Sumba Region  
-4.04,134.44,108,4.2,Irian Jaya Region  
-1.4,120.49,10,2.6,Sulawesi  
0.45,123.14,17,3.2,Minahassa Peninsula Sulawesi 
-4.3,134.22,10,6.0,Irian Jaya Region  
1.47,124.88,216,3.8,Minahassa Peninsula Sulawesi 
-1.41,120.49,10,2.1,Sulawesi  
-8.31,118.93,152,2.8,Sumbawa Region  
-7.9,117.33,10,2.2,Bali Sea 
-1.35,120.48,10,2.1,Sulawesi  
-8.05,107.35,21,3.2,Java  
2.82,127.4,10,4.8,Northern Molucca Sea 
1.95,96.64,23,4.7,Off West Coast of Northern Sumatra 
-2.62,101.62,71,3.3,Southern Sumatra  
-8.51,116.89,18,2.3,Sumbawa Region  
-2.82,129.29,10,3.9,Seram  
-4.74,101.94,10,4.3,Southern Sumatra  
-9.67,119.43,15,2.7,Sumba Region  
0.26,96.62,11,4.3,Off West Coast of Northern Sumatra 
0.29,122.26,141,2.9,Minahassa Peninsula Sulawesi 
-3.78,101.56,10,3.9,Southern Sumatra  
-0.1,124.35,22,2.9,Southern Molucca Sea 
-1.23,120.37,13,2.2,Sulawesi  
-8.41,115.17,154,2.9,Bali Region  
-8.31,107.22,20,3.8,Java  
-1.33,120.5,10,2.6,Sulawesi  
-7.6,105.84,47,4.5,Java  
-2.78,129.25,10,3.0,Seram  
-0.13,124.44,10,4.5,Southern Molucca Sea 
-2.82,129.06,10,3.1,Seram  
-7.68,108.4,96,3.8,Java  
-3.07,129.0,22,2.1,Seram  
-2.93,129.27,10,2.3,Seram  
-2.84,129.31,10,2.6,Seram  
-3.04,129.17,10,2.4,Seram  
-2.89,129.3,10,2.0,Seram  
4.47,125.34,222,4.2,Talaud Islands  
-2.86,139.98,10,2.8,Near North Coast of Irian Jaya 
-1.31,120.48,10,3.5,Sulawesi  
1.02,121.38,10,2.8,Minahassa Peninsula Sulawesi 
-6.21,130.23,166,3.4,Banda Sea 
0.43,121.1,94,2.9,Minahassa Peninsula Sulawesi 
-2.82,129.27,10,3.1,Seram  
-2.81,129.25,10,3.4,Seram  
-1.59,99.46,10,3.6,Southern Sumatra  
3.32,127.08,10,3.3,Talaud Islands  
-1.36,120.48,10,2.6,Sulawesi  
-5.11,103.76,10,2.6,Southern Sumatra  
-1.34,120.39,10,2.3,Sulawesi  
-1.34,120.47,10,2.9,Sulawesi  
-1.62,99.44,10,3.7,Southern Sumatra  
-1.34,120.46,10,2.5,Sulawesi  
0.88,125.52,10,3.9,Northern Molucca Sea 
-1.36,119.57,10,3.1,Sulawesi  
-3.41,133.98,10,3.9,Irian Jaya Region  
-8.36,106.91,10,4.2,South of Java  
-8.19,106.93,10,3.7,South of Java  
-1.36,120.51,10,2.7,Sulawesi  
1.41,121.29,10,3.1,Minahassa Peninsula Sulawesi 
-2.81,129.23,10,2.9,Seram  
-6.2,133.25,80,4.6,Aru Islands Region  
-0.08,124.39,28,4.1,Southern Molucca Sea 
2.84,124.49,292,4.6,Celebes Sea 
-8.2,117.81,13,3.0,Sumbawa Region  
-8.05,107.3,10,3.6,Java  
-5.35,123.16,23,4.8,Banda Sea 
-8.86,119.09,85,3.2,Flores Region  
-4.56,130.0,148,2.8,Banda Sea 
-9.47,125.28,13,3.1,Timor Region 
2.28,127.16,12,3.4,Northern Molucca Sea 
-2.99,134.02,10,3.0,Irian Jaya Region  
-3.44,135.46,21,3.6,Irian Jaya Region  
-1.36,120.5,10,2.3,Sulawesi  
-1.35,120.49,10,2.3,Sulawesi  
-1.34,120.51,10,2.2,Sulawesi  
-0.27,125.19,10,4.8,Southern Molucca Sea 
-1.32,120.5,10,4.1,Sulawesi  
-1.33,120.47,10,3.1,Sulawesi  
-1.32,120.48,10,3.6,Sulawesi  
-5.36,123.23,10,3.4,Banda Sea 
-2.84,127.98,10,2.5,Ceram Sea 
-5.29,103.8,52,2.7,Southern Sumatra  
3.75,126.44,38,3.1,Talaud Islands  
-6.35,130.45,166,3.8,Banda Sea 
-2.71,137.14,68,3.5,Irian Jaya  
1.61,125.77,10,3.3,Northern Molucca Sea 
-1.33,120.45,10,2.7,Sulawesi  
-1.33,120.47,10,3.9,Sulawesi  
1.25,126.15,26,3.1,Northern Molucca Sea 
-3.07,140.16,10,3.1,Irian Jaya  
0.32,96.63,10,3.8,Off West Coast of Northern Sumatra 
-1.32,120.49,10,3.2,Sulawesi  
-9.09,110.45,10,4.3,South of Java  
-3.41,135.52,18,3.8,Irian Jaya Region  
-2.85,129.3,10,2.8,Seram  
-7.93,117.64,20,2.5,Bali Sea 
-2.38,139.51,22,3.6,Near North Coast of Irian Jaya 
-7.26,126.53,389,4.7,Banda Sea 
-0.64,123.42,10,3.1,Minahassa Peninsula Sulawesi 
-6.34,131.07,10,4.1,Tanimbar Islands Reg.  
-1.35,120.49,10,2.6,Sulawesi  
-0.65,123.46,10,2.9,Minahassa Peninsula Sulawesi 
1.42,126.39,10,3.7,Northern Molucca Sea 
-0.77,123.55,42,5.0,Minahassa Peninsula Sulawesi 
1.01,126.14,10,3.4,Northern Molucca Sea 
-9.08,118.49,78,4.0,Sumbawa Region  
0.38,96.69,10,3.7,Off West Coast of Northern Sumatra 
-8.34,117.88,10,2.1,Sumbawa Region  
0.09,124.36,31,3.3,Minahassa Peninsula Sulawesi 
-2.82,129.4,10,3.1,Seram  
-0.08,124.4,18,3.7,Southern Molucca Sea 
-0.06,123.78,113,3.9,Minahassa Peninsula Sulawesi 
-4.51,129.88,10,3.2,Banda Sea 
-2.0,125.68,19,4.4,Southern Molucca Sea 
0.05,124.38,49,2.9,Minahassa Peninsula Sulawesi 
-0.03,124.4,30,3.6,Southern Molucca Sea 
-8.58,112.86,127,3.2,Java  
-1.38,120.49,10,2.3,Sulawesi  
-3.93,123.51,20,3.3,Sulawesi  
-8.4,121.45,10,2.2,Flores Region  
-0.08,124.52,32,2.9,Southern Molucca Sea 
-0.83,127.05,17,3.5,Halmahera  
-2.72,129.41,10,3.2,Seram  
-1.38,120.47,10,2.6,Sulawesi  
-2.69,129.46,14,5.0,Seram  
-2.97,129.21,10,3.5,Seram  
-0.07,123.26,126,3.6,Minahassa Peninsula Sulawesi 
0.27,98.54,26,4.9,Northern Sumatra  
-1.4,120.51,10,2.2,Sulawesi  
0.05,124.35,27,3.3,Minahassa Peninsula Sulawesi 
-1.36,120.48,10,3.0,Sulawesi  
-7.15,116.62,10,4.7,Bali Sea 
1.09,119.82,10,4.1,Celebes Sea 
0.98,127.82,10,2.5,Halmahera  
-1.39,120.51,10,2.1,Sulawesi  
-0.11,124.4,10,3.8,Southern Molucca Sea 
-1.18,121.76,10,2.9,Sulawesi  
-1.37,120.49,10,2.7,Sulawesi  
-3.5,140.34,119,4.7,Irian Jaya  
-1.78,134.08,42,4.3,Irian Jaya Region  
0.54,124.58,11,2.6,Minahassa Peninsula Sulawesi 
-3.95,123.53,10,3.5,Sulawesi  
-3.98,121.77,10,2.5,Sulawesi  
-1.34,120.42,10,2.9,Sulawesi  
-1.13,121.78,15,3.2,Sulawesi  
-8.25,119.65,160,2.9,Flores Region  
-0.13,124.41,13,2.9,Southern Molucca Sea 
-8.95,124.41,67,3.9,Timor Region 
-4.19,133.88,60,4.2,Irian Jaya Region  
-3.39,133.97,10,4.5,Irian Jaya Region  
-1.37,120.5,10,2.2,Sulawesi  
-3.37,133.99,11,4.7,Irian Jaya Region  
0.46,122.24,114,3.0,Minahassa Peninsula Sulawesi 
-4.51,129.88,10,3.1,Banda Sea 
-0.34,124.47,10,3.5,Southern Molucca Sea 
-0.06,124.36,16,3.9,Southern Molucca Sea 
-0.1,124.37,65,6.0,Southern Molucca Sea 
-1.34,120.49,10,2.9,Sulawesi  
-1.32,120.46,10,4.4,Sulawesi  
-1.34,120.49,10,2.7,Sulawesi  
-9.92,119.12,10,3.7,Sumba Region  
-1.34,120.48,10,3.7,Sulawesi  
-2.49,120.91,10,3.3,Sulawesi  
-1.33,120.48,10,3.8,Sulawesi  
-6.15,130.23,173,4.7,Banda Sea 
-1.37,120.44,12,2.2,Sulawesi  
-1.34,120.5,10,2.8,Sulawesi  
-1.39,120.5,10,2.7,Sulawesi  
-1.33,120.48,10,2.8,Sulawesi  
-1.34,120.47,10,2.8,Sulawesi  
-1.36,120.46,10,2.8,Sulawesi  
-1.36,120.47,10,2.9,Sulawesi  
-1.3,120.52,10,3.0,Sulawesi  
-1.34,120.55,10,5.2,Sulawesi  
-1.37,120.51,10,2.5,Sulawesi  
-6.61,107.0,155,3.0,Java  
-8.88,111.75,21,3.0,Java  
-7.61,128.17,77,4.5,Banda Sea 
-2.78,129.35,10,2.8,Seram  
-9.48,115.7,15,4.0,South of Bali  
-2.84,129.31,10,2.5,Seram  
0.33,96.81,27,3.7,Off West Coast of Northern Sumatra 
0.8,126.87,20,2.9,Northern Molucca Sea 
0.26,122.13,161,3.5,Minahassa Peninsula Sulawesi 
-2.82,129.32,10,2.9,Seram  
-8.33,107.96,23,3.1,Java  
-2.9,129.25,10,2.7,Seram  
-2.83,129.32,10,3.3,Seram  
-8.16,117.75,17,3.0,Sumbawa Region  
-3.01,129.2,26,2.7,Seram  
-8.9,118.68,88,2.5,Sumbawa Region  
-6.2,133.32,71,4.3,Aru Islands Region  
-2.82,129.26,10,3.0,Seram  
-10.99,117.84,16,3.0,South of Sumbawa  
-2.73,138.89,19,3.2,Irian Jaya  
-4.06,102.17,37,3.2,Southern Sumatra  
-2.85,129.28,10,2.9,Seram  
-8.18,106.88,10,3.3,South of Java  
-2.82,129.27,10,2.6,Seram  
0.95,119.92,10,3.2,Minahassa Peninsula Sulawesi 
-2.93,119.37,10,2.4,Sulawesi  
-2.82,129.32,10,2.7,Seram  
-2.83,129.21,10,3.1,Seram  
-9.68,119.38,10,2.6,Sumba Region  
-9.51,117.55,20,4.5,Sumbawa Region  
-8.93,119.22,90,4.2,Flores Region  
-2.8,129.2,11,3.0,Seram  
-2.83,129.33,10,2.9,Seram  
-2.84,129.29,10,3.0,Seram  
-2.82,129.38,10,2.7,Seram  
0.31,96.73,15,4.1,Off West Coast of Northern Sumatra 
-2.84,129.29,10,3.6,Seram  
-8.88,112.51,32,3.9,Java  
-2.82,129.31,10,3.4,Seram  
-2.84,129.33,10,2.3,Seram  
-2.88,129.31,10,2.4,Seram  
-3.17,140.16,25,3.7,Irian Jaya  
-9.55,114.85,39,3.0,South of Bali  
-9.34,117.89,29,2.1,Sumbawa Region  
3.1,128.04,86,4.0,North of Halmahera  
-7.93,119.49,256,2.7,Flores Sea 
-2.89,129.33,10,2.7,Seram  
3.02,127.91,10,3.1,Talaud Islands  
-4.85,103.95,10,3.0,Southern Sumatra  
4.09,126.13,128,3.3,Talaud Islands  
-5.96,122.56,21,3.0,Sulawesi  
-3.04,129.25,10,2.5,Seram  
-9.87,118.37,12,2.2,Sumbawa Region  
-7.29,110.46,10,3.0,Java  
-9.33,120.73,43,3.1,Sumba Region  
-8.68,118.97,109,3.8,Sumbawa Region  
-8.96,123.92,26,3.4,Flores Region  
-2.84,129.29,10,2.8,Seram  
-8.04,106.92,10,3.1,South of Java  
-8.96,111.18,10,3.5,Java  
-8.22,106.88,10,3.2,South of Java  
-8.23,116.75,11,2.6,Sumbawa Region  
-7.65,119.42,267,3.3,Flores Sea 
-2.97,129.04,10,2.5,Seram  
1.81,126.21,10,3.1,Northern Molucca Sea 
-2.84,129.27,10,3.4,Seram  
-2.84,129.25,16,2.5,Seram  
-2.85,129.28,10,3.4,Seram  
0.22,96.6,27,3.4,Off West Coast of Northern Sumatra 
-2.88,140.27,10,2.3,Near North Coast of Irian Jaya 
0.38,125.32,15,3.5,Northern Molucca Sea 
0.75,126.67,10,2.5,Northern Molucca Sea 
-2.82,129.34,10,2.8,Seram  
3.09,127.85,10,3.2,Talaud Islands  
-1.85,140.73,10,3.3,Irian Jaya Region  
-2.86,129.28,10,2.3,Seram  
-2.84,129.22,18,3.5,Seram  
1.38,126.45,10,4.1,Northern Molucca Sea 
-2.85,129.29,10,2.3,Seram  
-8.21,116.47,13,2.4,Sumbawa Region  
-4.74,138.65,10,3.5,Irian Jaya  
-4.1,128.56,10,2.3,Banda Sea 
-3.01,129.09,13,2.2,Seram  
-2.88,129.26,10,3.1,Seram  
-2.87,129.23,10,3.5,Seram  
-2.83,129.27,10,2.7,Seram  
-2.82,129.25,10,3.9,Seram  
0.33,96.7,10,4.2,Off West Coast of Northern Sumatra 
-6.98,129.74,152,4.5,Banda Sea 
-2.95,129.25,10,3.1,Seram  
-2.97,129.24,10,2.5,Seram  
-2.96,129.26,10,3.0,Seram  
